combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
25,1.0,4.0,50.0,90.0,-2192.5,2535.849999999994,-0.86,125.0,68.8,3.0,-0.98
26,1.0,8.0,10.0,50.0,1048.3,1740.9500000000007,0.6,137.0,52.55,5.0,0.87
27,1.0,8.0,10.0,60.0,1140.2,1337.25,0.85,128.0,53.12,5.0,0.93
28,1.0,8.0,10.0,70.0,1117.2,1295.8499999999985,0.86,108.0,53.7,5.0,0.94
29,1.0,8.0,10.0,80.0,691.0,1528.1499999999996,0.45,90.0,53.33,6.0,0.7
30,1.0,8.0,10.0,90.0,904.0,967.6499999999996,0.93,60.0,55.0,4.0,0.94
31,1.0,8.0,20.0,50.0,-504.4,2326.449999999997,-0.22,234.0,55.13,5.0,0.16
32,1.0,8.0,20.0,60.0,-631.1,1970.6499999999996,-0.32,221.0,55.2,5.0,0.1
33,1.0,8.0,20.0,70.0,-1003.6,2193.149999999998,-0.46,196.0,55.1,5.0,-0.08
34,1.0,8.0,20.0,80.0,-1813.8,2782.3499999999967,-0.65,168.0,54.17,5.0,-0.46
35,1.0,8.0,20.0,90.0,-461.1,2281.649999999996,-0.2,121.0,56.2,5.0,0.02
36,1.0,8.0,30.0,50.0,-36.700000000000045,2326.449999999997,-0.02,237.0,55.7,5.0,0.34
37,1.0,8.0,30.0,60.0,-163.39999999999998,1922.75,-0.08,224.0,55.8,5.0,0.28
38,1.0,8.0,30.0,70.0,-535.9,2193.149999999998,-0.24,199.0,55.78,5.0,0.11
39,1.0,8.0,30.0,80.0,-1346.1,2782.3499999999967,-0.48,171.0,54.97,5.0,-0.26
40,1.0,8.0,30.0,90.0,-149.3,2281.649999999996,-0.07,123.0,56.91,5.0,0.17
41,1.0,8.0,40.0,50.0,-639.9,2170.5499999999975,-0.29,239.0,55.65,5.0,0.12
42,1.0,8.0,40.0,60.0,-766.6,1814.75,-0.42,226.0,55.75,5.0,0.06
43,1.0,8.0,40.0,70.0,-1139.1,2037.2499999999982,-0.56,201.0,55.72,5.0,-0.12
44,1.0,8.0,40.0,80.0,-1949.3,2646.2499999999927,-0.74,173.0,54.91,5.0,-0.48
45,1.0,8.0,40.0,90.0,-752.5,2125.7499999999964,-0.35,125.0,56.8,5.0,-0.11
46,1.0,8.0,50.0,50.0,-639.9,2170.5499999999975,-0.29,239.0,55.65,5.0,0.12
47,1.0,8.0,50.0,60.0,-766.6,1814.75,-0.42,226.0,55.75,5.0,0.06
48,1.0,8.0,50.0,70.0,-1139.1,2037.2499999999982,-0.56,201.0,55.72,5.0,-0.12
49,1.0,8.0,50.0,80.0,-1949.3,2646.2499999999927,-0.74,173.0,54.91,5.0,-0.48
50,1.0,8.0,50.0,90.0,-752.5,2125.7499999999964,-0.35,125.0,56.8,5.0,-0.11
51,1.0,12.0,10.0,50.0,3228.3,1774.6499999999996,1.82,137.0,45.99,5.0,1.64
52,1.0,12.0,10.0,60.0,3000.2,1530.949999999999,1.96,128.0,46.09,5.0,1.57
53,1.0,12.0,10.0,70.0,3322.2,1264.5499999999993,2.63,108.0,48.15,5.0,1.81
